"p15ymas.an","p15ymas.se","ocupada.ss","solicitudes.mu","personal.mu","pobreza.mu","carencias.mu","di.urb","mean.rwi"
165.307958122933,207.236261577962,16259.707609752,12.2096624998939,84.8842044519124,30.2,27,2.0631,0.279
352.507792575801,347.12383111363,20902.4378653234,12.5966551035833,82.750334295847,65.5,22.4,2.6025,0.212
448.059292056693,508.939528839907,18088.390038583,13.1984916009599,132.841960918752,68.4,22.8,4.0705,0.012
315.120711562897,303.261329944939,21293.0909090909,47.6919453603391,174.870466321244,54.2,28.5,1.8798,0.212
226.96523152761,269.757197545755,15737.3350551424,11.9440632070923,87.9854594013131,42.4,28.4,10.5662,0.214
269.298726619143,304.331932005118,17839.7065048681,12.8551227664224,141.19209838454,51.1,22.8,0.4376,0.449
344.059343274513,338.236411048381,17455.7859429791,13.9474877087765,90.8330137034067,51.2,25.5,1.1771,0.313
243.827633798497,154.884220211624,22035.0225524012,78.4765093648634,440.514805901433,65.8,17.2,11.6252,0.014
422.328548644338,338.755980861244,21372.7019498607,25.1811274076692,180.243859339106,65.8,22.8,0.4466,0.21
236.490399092025,267.296690060918,17687.5813937957,21.0454113208724,104.759380797231,42.2,24,5.0865,0.291
388.069934864587,421.666095303394,19112.4955918655,29.3001585090542,151.784427686248,66.2,22.5,7.7463,0.053
340.820572253676,485.87889957062,15684.2798365379,8.65731462925852,55.0434201736807,34.6,37.8,120.5337,0.073
161.146783754224,270.038703215202,15802.1666737546,4.44850027434006,55.6967475461806,30,34.7,42.9269,0.297
192.146933039338,332.683151403545,16067.1504261691,9.95979195101258,105.684459035745,29.6,37.6,8.6363,0.12
146.327301276403,269.721745732206,13736.9304930447,6.14277451596393,55.0509106494177,31.1,39.5,6.014,0.617
201.671999174321,390.442770151718,13660.65747614,20.9724598487775,84.5205900672538,41.6,42.7,3.4047,0.32
406.753227912375,635.789931814885,18191.9434628975,11.5073222187213,261.106620820034,42.8,32.8,26.8473,-0.013
416.12621999192,608.348040570712,16599.5723885156,4.52079566003617,277.015651306354,39.7,31.3,48.8065,-0.002
